Student ID,Day,Time,Course ID,Room
1,Friday,16:00,C1,R2
1,Thursday,12:00,C2,R4
1,Thursday,11:00,C4,R2
1,Wednesday,16:00,C8,R3
1,Wednesday,13:00,C11,R2
1,Friday,15:00,C12,R5
1,Wednesday,14:00,C13,R1
2,Friday,16:00,C1,R2
2,Thursday,12:00,C2,R4
2,Monday,11:00,C5,R2
2,Wednesday,16:00,C8,R3
2,Tuesday,11:00,C10,R5
2,Wednesday,14:00,C13,R1
2,Monday,12:00,C15,R1
3,Thursday,12:00,C2,R4
3,Wednesday,15:00,C9,R5
3,Wednesday,13:00,C11,R2
3,Friday,15:00,C12,R5
3,Wednesday,14:00,C13,R1
4,Monday,11:00,C5,R2
4,Wednesday,13:00,C11,R2
4,Friday,15:00,C12,R5
4,Wednesday,14:00,C13,R1
4,Monday,12:00,C15,R1
5,Friday,16:00,C1,R2
5,Thursday,10:00,C6,R4
5,Tuesday,11:00,C10,R5
5,Monday,12:00,C15,R1
6,Thursday,12:00,C2,R4
6,Friday,17:00,C3,R2
6,Wednesday,13:00,C11,R2
6,Wednesday,14:00,C13,R1
6,Tuesday,10:00,C14,R1
6,Monday,12:00,C15,R1
7,Friday,16:00,C1,R2
7,Thursday,12:00,C2,R4
7,Thursday,11:00,C4,R2
7,Monday,11:00,C5,R2
7,Wednesday,16:00,C8,R3
7,Wednesday,15:00,C9,R5
7,Tuesday,11:00,C10,R5
8,Friday,17:00,C3,R2
8,Thursday,10:00,C6,R4
8,Wednesday,16:00,C8,R3
8,Wednesday,15:00,C9,R5
8,Tuesday,11:00,C10,R5
8,Wednesday,14:00,C13,R1
8,Monday,12:00,C15,R1
9,Thursday,12:00,C2,R4
9,Friday,17:00,C3,R2
9,Thursday,11:00,C4,R2
9,Thursday,10:00,C6,R4
9,Tuesday,11:00,C10,R5
9,Friday,15:00,C12,R5
9,Monday,12:00,C15,R1
10,Thursday,12:00,C2,R4
10,Thursday,11:00,C4,R2
10,Monday,11:00,C5,R2
10,Thursday,10:00,C6,R4
10,Monday,10:00,C7,R3
